shipment_id,cargo_weight,shipment_priority,shc,customs_status,inspection_required,clearance_type,documentation_status,payment_status,consignee_name,consignee_behavior,staff_availability,truck_availability,packaging_condition,warehouse_load_percentage,flight_delay_hours,arrival_datetime,release_datetime,dwell_time_hours
SHIP_115138,731.04,Low,DGR,Hold,1,Automatic,Missing,Pending,Global Electronics Pvt Ltd,Average,54,Delayed,Good,34.93,11.18,2024-01-03 09:31:00,2024-01-07 10:31:00,97
SHIP_117013,4103.39,Medium,PER,Pending,0,Automatic,Missing,Overdue,Skyline Traders,Cooperative,80,Delayed,Damaged,70.35,9.85,2024-01-03 09:15:00,2024-01-07 11:15:00,98
SHIP_107689,1733.06,Low,AVI,Pending,1,Manual,Incomplete,Paid,DHL Logistics,Non-Compliant,61,Available,Good,64.62,14.66,2024-01-01 11:02:00,2024-01-03 07:02:00,44
SHIP_110358,3322.62,High,DGR,Pending,0,Automatic,Incomplete,Overdue,Global Electronics Pvt Ltd,Cooperative,86,Available,Good,67.4,12.25,2024-01-01 10:50:00,2024-01-03 04:50:00,42
SHIP_107904,4217.52,Critical,GEN,Pending,1,Automatic,Incomplete,Paid,Prime Retail Imports,Cooperative,77,Available,Good,73.92,1.97,2024-01-01 16:04:00,2024-01-03 06:04:00,38
SHIP_102008,401.02,High,VAL,Under Inspection,0,Automatic,Complete,Overdue,Global Electronics Pvt Ltd,Cooperative,56,Delayed,Good,43.12,12.69,2024-01-01 22:39:00,2024-01-04 16:39:00,66
SHIP_114735,1248.63,Critical,AVI,Pending,0,Automatic,Incomplete,Pending,DHL Logistics,Cooperative,49,Available,Good,31.98,12.56,2023-12-31 14:19:00,2024-01-01 23:19:00,33
SHIP_119557,2595.53,Low,EAT,Pending,0,Manual,Complete,Overdue,AeroTech Solutions,Cooperative,22,Available,Good,35.86,14.71,2023-12-28 14:54:00,2023-12-30 05:54:00,39
SHIP_108764,1766.79,Critical,AVI,Under Inspection,0,Automatic,Complete,Overdue,ABC Pharma Ltd,Average,29,Delayed,Good,52.25,13.41,2024-01-01 22:07:00,2024-01-03 21:07:00,47
SHIP_116267,3621.76,Critical,GEN,Under Inspection,0,Manual,Missing,Overdue,Global Electronics Pvt Ltd,Average,71,Available,Good,79.28,1.8,2024-01-01 23:27:00,2024-01-04 11:27:00,60
SHIP_102781,4580.89,Medium,EAT,Pending,0,Manual,Complete,Paid,Skyline Traders,Cooperative,77,Available,Good,79.17,5.89,2024-01-02 00:11:00,2024-01-02 18:11:00,18
SHIP_112112,1132.33,Critical,VAL,Under Inspection,0,Automatic,Complete,Pending,Prime Retail Imports,Delayed Response,98,Delayed,Good,80.74,2.31,2024-01-01 11:17:00,2024-01-03 11:17:00,48
SHIP_100124,2875.98,Critical,GEN,Pending,0,Automatic,Missing,Overdue,Skyline Traders,Cooperative,39,Available,Good,64.77,0.23,2023-12-30 04:32:00,2024-01-01 15:32:00,59
SHIP_107414,2779.7,Low,VAL,Hold,0,Manual,Missing,Pending,Prime Retail Imports,Non-Compliant,67,Available,Good,52.13,12.15,2024-01-02 18:33:00,2024-01-06 00:33:00,78
SHIP_114781,2271.26,Medium,GEN,Pending,0,Manual,Complete,Paid,CargoLink Pvt Ltd,Average,90,Delayed,Good,58.43,19.88,2024-01-01 19:45:00,2024-01-03 06:45:00,35
SHIP_107363,1502.37,Low,EAT,Pending,0,Automatic,Incomplete,Overdue,Global Electronics Pvt Ltd,Delayed Response,20,Delayed,Good,92.47,15.54,2024-01-01 21:22:00,2024-01-04 19:22:00,70
SHIP_109444,2701.24,Medium,EAT,Pending,0,Automatic,Incomplete,Pending,FreshFoods Exports,Average,80,Available,Good,25.99,1.86,2024-01-02 09:43:00,2024-01-04 00:43:00,39
SHIP_114789,3435.44,Critical,DGR,Hold,1,Manual,Complete,Paid,MedSupply International,Cooperative,40,Available,Needs Repacking,47.04,17.3,2024-01-02 14:28:00,2024-01-05 04:28:00,62
SHIP_117977,465.84,Critical,PER,Pending,0,Automatic,Missing,Paid,FreshFoods Exports,Delayed Response,76,Available,Needs Repacking,41.88,11.78,2024-01-01 20:55:00,2024-01-04 07:55:00,59
SHIP_112634,2192.0,High,VAL,Hold,1,Manual,Missing,Pending,MedSupply International,Average,53,Delayed,Good,71.54,14.79,2024-01-04 04:16:00,2024-01-08 00:16:00,92
SHIP_102763,3009.69,Critical,GEN,Under Inspection,0,Automatic,Missing,Pending,Prime Retail Imports,Cooperative,31,Available,Good,39.23,14.51,2024-01-01 20:51:00,2024-01-04 01:51:00,53
SHIP_118084,610.16,Low,GEN,Under Inspection,1,Manual,Missing,Pending,MedSupply International,Delayed Response,94,Delayed,Good,86.1,1.08,2024-01-03 16:56:00,2024-01-07 11:56:00,91
SHIP_118851,2102.95,Low,EAT,Hold,0,Automatic,Complete,Pending,Global Electronics Pvt Ltd,Cooperative,76,Not Available,Good,88.74,16.11,2024-01-02 07:38:00,2024-01-05 02:38:00,67
SHIP_117372,3489.73,Critical,DGR,Under Inspection,1,Automatic,Complete,Overdue,Skyline Traders,Average,86,Not Available,Good,57.77,14.57,2024-01-03 21:02:00,2024-01-07 03:02:00,78
SHIP_118581,2466.34,Medium,GEN,Hold,0,Manual,Incomplete,Pending,Global Electronics Pvt Ltd,Delayed Response,37,Delayed,Good,39.45,1.6,2024-01-03 15:08:00,2024-01-06 09:08:00,66
SHIP_113155,3632.74,High,AVI,Pending,0,Automatic,Complete,Overdue,DHL Logistics,Average,48,Delayed,Good,59.6,23.13,2024-01-02 21:36:00,2024-01-05 02:36:00,53
SHIP_105612,1772.7,Low,AVI,Hold,1,Automatic,Incomplete,Paid,Global Electronics Pvt Ltd,Average,75,Available,Needs Repacking,55.21,0.44,2024-01-03 12:07:00,2024-01-06 17:07:00,77
SHIP_116222,1586.76,Medium,EAT,Under Inspection,0,Manual,Complete,Paid,Secure Freight Systems,Average,36,Available,Damaged,98.98,22.34,2024-01-01 10:09:00,2024-01-02 17:09:00,31
SHIP_106160,3024.7,High,EAT,Under Inspection,0,Automatic,Missing,Paid,Skyline Traders,Average,68,Not Available,Needs Repacking,99.27,14.31,2024-01-03 17:23:00,2024-01-07 21:23:00,100
SHIP_103269,4819.08,Low,DGR,Hold,0,Automatic,Complete,Paid,Secure Freight Systems,Cooperative,23,Available,Damaged,23.42,16.44,2024-01-01 11:24:00,2024-01-03 11:24:00,48
SHIP_110725,1074.37,Critical,PER,Pending,0,Manual,Incomplete,Pending,CargoLink Pvt Ltd,Average,40,Available,Good,88.02,21.65,2024-01-02 12:51:00,2024-01-03 13:51:00,25
SHIP_100554,4073.61,Critical,AVI,Hold,0,Manual,Missing,Paid,Skyline Traders,Delayed Response,72,Delayed,Good,25.66,15.85,2024-01-02 00:21:00,2024-01-05 09:21:00,81
SHIP_108369,187.29,High,EAT,Under Inspection,1,Automatic,Complete,Overdue,CargoLink Pvt Ltd,Delayed Response,26,Delayed,Good,77.3,21.73,2024-01-03 02:31:00,2024-01-06 00:31:00,70
SHIP_112350,2634.73,Critical,PER,Hold,1,Automatic,Incomplete,Pending,DHL Logistics,Cooperative,72,Available,Good,40.41,1.75,2024-01-03 05:23:00,2024-01-06 01:23:00,68
SHIP_109016,2390.01,Low,GEN,Pending,0,Automatic,Incomplete,Pending,FreshFoods Exports,Cooperative,50,Available,Good,93.97,14.37,2024-01-02 18:31:00,2024-01-04 15:31:00,45
SHIP_117304,1106.26,High,AVI,Hold,0,Automatic,Incomplete,Pending,DHL Logistics,Delayed Response,95,Delayed,Good,36.65,8.23,2024-01-03 08:40:00,2024-01-06 11:40:00,75
SHIP_102602,3110.62,Low,PER,Under Inspection,0,Manual,Incomplete,Overdue,MedSupply International,Cooperative,42,Available,Good,78.95,17.49,2024-01-02 19:43:00,2024-01-05 10:43:00,63
SHIP_107870,3920.97,Low,DGR,Pending,0,Manual,Incomplete,Overdue,Secure Freight Systems,Cooperative,77,Available,Good,96.45,12.36,2024-01-02 22:34:00,2024-01-05 14:34:00,64
SHIP_118960,4219.93,High,EAT,Hold,1,Automatic,Incomplete,Pending,ABC Pharma Ltd,Cooperative,51,Available,Good,85.78,22.74,2024-01-03 21:47:00,2024-01-07 02:47:00,77
SHIP_116250,4248.88,Medium,PER,Pending,0,Automatic,Incomplete,Pending,Secure Freight Systems,Average,23,Not Available,Good,95.49,15.08,2024-01-02 15:55:00,2024-01-05 06:55:00,63
SHIP_116734,4162.46,High,EAT,Pending,0,Manual,Missing,Paid,MedSupply International,Average,99,Available,Good,76.51,4.07,2023-12-31 21:32:00,2024-01-02 16:32:00,43
SHIP_118066,4417.48,Medium,PER,Under Inspection,1,Manual,Complete,Paid,Prime Retail Imports,Delayed Response,77,Delayed,Good,72.33,1.9,2024-01-03 10:48:00,2024-01-05 16:48:00,54
SHIP_112992,3131.57,Critical,PER,Hold,1,Automatic,Complete,Pending,Skyline Traders,Cooperative,86,Available,Good,77.24,12.07,2024-01-03 09:10:00,2024-01-05 15:10:00,54
SHIP_103758,1717.79,High,DGR,Hold,1,Manual,Complete,Pending,ABC Pharma Ltd,Delayed Response,30,Available,Good,74.82,2.15,2024-01-02 18:29:00,2024-01-05 00:29:00,54
SHIP_117298,2434.92,Medium,AVI,Hold,1,Automatic,Complete,Overdue,Global Electronics Pvt Ltd,Cooperative,96,Available,Good,79.07,19.51,2024-01-03 03:44:00,2024-01-06 16:44:00,85
SHIP_102205,1982.87,Low,PER,Cleared,0,Manual,Complete,Pending,FreshFoods Exports,Average,91,Available,Good,60.12,19.54,2024-01-02 09:04:00,2024-01-03 10:04:00,25
SHIP_107279,3869.78,Medium,AVI,Pending,0,Automatic,Incomplete,Paid,ABC Pharma Ltd,Cooperative,67,Available,Good,99.64,22.97,2024-01-02 07:10:00,2024-01-03 17:10:00,34
SHIP_104061,4318.69,Medium,AVI,Under Inspection,0,Automatic,Complete,Overdue,Secure Freight Systems,Average,70,Available,Good,27.33,4.21,2024-01-02 12:46:00,2024-01-04 21:46:00,57
SHIP_117997,4070.97,Medium,DGR,Under Inspection,1,Manual,Missing,Pending,Global Electronics Pvt Ltd,Average,40,Available,Good,50.6,17.33,2024-01-04 16:05:00,2024-01-08 04:05:00,84
SHIP_105661,533.6,Low,EAT,Hold,1,Manual,Incomplete,Paid,MedSupply International,Delayed Response,74,Not Available,Damaged,82.63,2.33,2024-01-04 20:32:00,2024-01-08 21:32:00,97
SHIP_113252,4752.57,High,PER,Hold,0,Automatic,Missing,Overdue,Prime Retail Imports,Cooperative,91,Available,Good,36.53,21.56,2024-01-01 15:09:00,2024-01-05 05:09:00,86
SHIP_118667,3313.45,Medium,PER,Under Inspection,0,Automatic,Incomplete,Overdue,MedSupply International,Delayed Response,98,Available,Good,54.8,11.71,2024-01-03 11:26:00,2024-01-05 21:26:00,58
SHIP_105058,4035.81,High,AVI,Under Inspection,1,Automatic,Incomplete,Pending,DHL Logistics,Average,24,Available,Good,90.69,20.27,2024-01-03 12:12:00,2024-01-06 07:12:00,67
SHIP_117904,3269.02,Low,PER,Hold,1,Automatic,Missing,Pending,Skyline Traders,Average,51,Available,Good,27.71,6.41,2024-01-04 20:45:00,2024-01-08 08:45:00,84
SHIP_109223,2208.36,Critical,VAL,Cleared,0,Manual,Complete,Overdue,FreshFoods Exports,Average,85,Delayed,Damaged,40.72,7.36,2024-01-02 19:49:00,2024-01-04 15:49:00,44
SHIP_105104,4206.07,High,DGR,Hold,0,Automatic,Complete,Paid,Prime Retail Imports,Average,62,Not Available,Good,48.46,1.86,2024-01-02 02:51:00,2024-01-04 12:51:00,58
SHIP_113224,1849.56,High,GEN,Pending,1,Automatic,Complete,Overdue,Prime Retail Imports,Average,98,Delayed,Good,65.25,16.86,2024-01-03 18:57:00,2024-01-06 01:57:00,55
SHIP_114173,1737.55,Low,PER,Hold,1,Automatic,Incomplete,Pending,AeroTech Solutions,Delayed Response,95,Available,Good,40.68,14.77,2024-01-04 13:44:00,2024-01-08 07:44:00,90
SHIP_108101,1995.25,Medium,GEN,Under Inspection,0,Automatic,Incomplete,Overdue,AeroTech Solutions,Cooperative,42,Delayed,Good,94.84,6.12,2024-01-03 22:01:00,2024-01-06 17:01:00,67
SHIP_111988,3183.36,High,AVI,Hold,0,Automatic,Incomplete,Overdue,CargoLink Pvt Ltd,Delayed Response,88,Available,Good,87.77,21.98,2024-01-03 09:21:00,2024-01-06 03:21:00,66
SHIP_117647,2519.34,Critical,PER,Hold,1,Automatic,Incomplete,Paid,AeroTech Solutions,Average,33,Not Available,Good,59.28,15.33,2024-01-05 04:14:00,2024-01-08 02:14:00,70
SHIP_102804,430.98,Critical,DGR,Under Inspection,0,Automatic,Missing,Pending,DHL Logistics,Cooperative,94,Delayed,Good,67.2,13.21,2024-01-03 21:03:00,2024-01-06 11:03:00,62
SHIP_119575,969.79,Critical,PER,Under Inspection,1,Manual,Complete,Paid,FreshFoods Exports,Average,35,Not Available,Good,95.57,15.4,2024-01-04 09:53:00,2024-01-06 15:53:00,54
SHIP_113779,353.77,Medium,AVI,Under Inspection,1,Automatic,Missing,Overdue,Secure Freight Systems,Average,34,Not Available,Needs Repacking,35.64,1.06,2024-01-07 17:01:00,2024-01-13 00:01:00,127
SHIP_114693,1140.43,Low,GEN,Under Inspection,0,Automatic,Missing,Paid,DHL Logistics,Average,52,Available,Damaged,85.86,11.11,2024-01-04 12:03:00,2024-01-07 01:03:00,61
SHIP_101824,4026.95,Low,EAT,Hold,0,Manual,Missing,Pending,Global Electronics Pvt Ltd,Cooperative,37,Not Available,Good,59.22,5.91,2024-01-05 05:06:00,2024-01-09 14:06:00,105
SHIP_110639,1101.12,Low,DGR,Under Inspection,0,Automatic,Missing,Paid,FreshFoods Exports,Average,98,Delayed,Good,35.63,19.69,2024-01-04 08:21:00,2024-01-06 22:21:00,62
SHIP_100900,4640.46,High,AVI,Under Inspection,0,Manual,Complete,Pending,DHL Logistics,Cooperative,31,Available,Good,78.95,11.42,2024-01-03 04:27:00,2024-01-04 17:27:00,37
SHIP_106044,466.2,Low,GEN,Hold,0,Manual,Missing,Overdue,ABC Pharma Ltd,Delayed Response,26,Delayed,Good,80.97,17.35,2024-01-04 14:59:00,2024-01-08 20:59:00,102
SHIP_112699,2017.48,Critical,GEN,Under Inspection,0,Manual,Complete,Pending,FreshFoods Exports,Average,22,Available,Good,66.75,18.27,2024-01-02 19:20:00,2024-01-04 03:20:00,32
SHIP_108929,2323.95,Critical,AVI,Under Inspection,0,Automatic,Complete,Overdue,Secure Freight Systems,Delayed Response,64,Delayed,Good,41.69,8.33,2024-01-04 17:20:00,2024-01-06 19:20:00,50
SHIP_104035,2241.42,Low,EAT,Hold,1,Automatic,Incomplete,Pending,MedSupply International,Average,71,Not Available,Needs Repacking,50.59,5.26,2024-01-06 07:02:00,2024-01-11 01:02:00,114
SHIP_103791,2927.9,High,PER,Under Inspection,1,Manual,Incomplete,Pending,Secure Freight Systems,Cooperative,98,Delayed,Good,92.36,19.06,2024-01-04 04:15:00,2024-01-06 20:15:00,64
SHIP_108026,4102.12,Medium,VAL,Under Inspection,0,Automatic,Incomplete,Pending,FreshFoods Exports,Cooperative,41,Not Available,Damaged,39.4,16.79,2024-01-05 06:21:00,2024-01-08 16:21:00,82
SHIP_100280,520.51,High,PER,Pending,1,Automatic,Missing,Pending,Secure Freight Systems,Delayed Response,80,Available,Good,75.49,18.51,2024-01-05 00:33:00,2024-01-07 09:33:00,57
SHIP_115123,1965.06,High,DGR,Under Inspection,0,Automatic,Missing,Paid,Global Electronics Pvt Ltd,Average,94,Delayed,Good,69.0,22.31,2024-01-04 20:52:00,2024-01-07 02:52:00,54
SHIP_114991,3501.98,Critical,VAL,Pending,0,Automatic,Missing,Pending,Global Electronics Pvt Ltd,Cooperative,44,Available,Good,40.72,19.18,2024-01-03 21:19:00,2024-01-05 14:19:00,41
SHIP_106810,259.49,Medium,DGR,Under Inspection,1,Manual,Incomplete,Overdue,Skyline Traders,Average,55,Available,Good,20.45,20.18,2024-01-04 21:32:00,2024-01-07 23:32:00,74
SHIP_103099,4007.58,Medium,EAT,Under Inspection,1,Manual,Missing,Paid,Prime Retail Imports,Average,86,Delayed,Good,35.95,4.25,2024-01-04 23:41:00,2024-01-08 00:41:00,73
SHIP_114390,1319.44,Critical,EAT,Pending,0,Automatic,Missing,Pending,FreshFoods Exports,Average,88,Available,Good,52.41,1.24,2024-01-04 14:11:00,2024-01-06 22:11:00,56
SHIP_116689,3191.07,High,AVI,Hold,1,Automatic,Incomplete,Paid,FreshFoods Exports,Non-Compliant,71,Available,Good,61.56,18.28,2024-01-04 17:31:00,2024-01-07 06:31:00,61
SHIP_112890,4356.14,Low,GEN,Pending,0,Manual,Incomplete,Overdue,Secure Freight Systems,Average,20,Delayed,Good,31.96,2.66,2024-01-06 00:15:00,2024-01-09 00:15:00,72
SHIP_112649,3489.13,Critical,EAT,Hold,1,Automatic,Complete,Paid,AeroTech Solutions,Cooperative,45,Available,Damaged,24.31,11.75,2023-12-31 19:20:00,2024-01-02 21:20:00,50
SHIP_104551,4688.42,Low,PER,Hold,0,Manual,Complete,Paid,DHL Logistics,Average,27,Available,Damaged,96.28,17.87,2024-01-01 03:35:00,2024-01-03 08:35:00,53
SHIP_104923,3713.33,Low,VAL,Under Inspection,0,Automatic,Missing,Pending,AeroTech Solutions,Average,61,Available,Good,54.07,23.09,2024-01-05 03:50:00,2024-01-07 18:50:00,63
SHIP_112695,207.79,High,AVI,Under Inspection,0,Automatic,Incomplete,Paid,Skyline Traders,Average,64,Available,Good,85.08,21.57,2024-01-03 20:32:00,2024-01-05 05:32:00,33
SHIP_116682,2463.68,High,AVI,Pending,0,Manual,Complete,Paid,FreshFoods Exports,Delayed Response,54,Available,Good,77.45,8.85,2024-01-04 12:51:00,2024-01-05 01:51:00,13
SHIP_107473,4562.03,Low,VAL,Pending,0,Manual,Incomplete,Overdue,MedSupply International,Average,71,Available,Damaged,22.82,0.24,2024-01-04 20:56:00,2024-01-07 08:56:00,60
SHIP_114420,2577.36,Critical,VAL,Under Inspection,0,Automatic,Missing,Paid,CargoLink Pvt Ltd,Delayed Response,85,Available,Damaged,80.23,13.62,2024-01-04 21:56:00,2024-01-07 01:56:00,52
SHIP_102307,2779.76,Critical,PER,Pending,0,Manual,Complete,Paid,Secure Freight Systems,Average,22,Available,Damaged,39.76,19.23,2024-01-01 19:16:00,2024-01-03 02:16:00,31
SHIP_104805,2361.76,Low,VAL,Under Inspection,0,Manual,Complete,Pending,ABC Pharma Ltd,Delayed Response,42,Delayed,Good,87.33,9.03,2024-01-03 18:11:00,2024-01-05 18:11:00,48
SHIP_107462,2189.1,Critical,EAT,Hold,1,Manual,Complete,Pending,MedSupply International,Delayed Response,41,Available,Good,28.86,18.89,2024-01-05 05:24:00,2024-01-07 02:24:00,45
SHIP_103297,1988.52,Medium,AVI,Hold,0,Automatic,Missing,Pending,Global Electronics Pvt Ltd,Cooperative,99,Delayed,Good,75.85,15.35,2024-01-05 20:02:00,2024-01-09 02:02:00,78
SHIP_110346,299.21,Critical,DGR,Hold,0,Manual,Missing,Overdue,FreshFoods Exports,Delayed Response,45,Delayed,Damaged,33.23,9.47,2024-01-06 14:41:00,2024-01-10 13:41:00,95
SHIP_111601,209.17,High,AVI,Cleared,0,Manual,Complete,Paid,DHL Logistics,Average,74,Available,Damaged,29.01,19.82,2024-01-02 13:37:00,2024-01-03 05:37:00,16
SHIP_104972,2190.85,Critical,GEN,Pending,1,Automatic,Complete,Pending,ABC Pharma Ltd,Delayed Response,57,Not Available,Good,21.75,9.75,2024-01-05 03:46:00,2024-01-07 15:46:00,60
SHIP_109533,1774.82,Critical,DGR,Pending,0,Manual,Incomplete,Overdue,AeroTech Solutions,Average,53,Available,Damaged,74.81,2.61,2024-01-04 12:30:00,2024-01-06 18:30:00,54
SHIP_100379,4473.29,Critical,GEN,Cleared,0,Manual,Complete,Pending,Skyline Traders,Average,25,Available,Good,87.57,10.35,2024-01-03 03:05:00,2024-01-03 16:05:00,13
SHIP_113666,1997.51,Low,DGR,Under Inspection,0,Automatic,Incomplete,Paid,DHL Logistics,Delayed Response,50,Available,Good,69.43,23.55,2024-01-04 06:07:00,2024-01-06 01:07:00,43
SHIP_102740,1957.96,High,GEN,Pending,1,Manual,Incomplete,Pending,Skyline Traders,Average,24,Available,Good,42.63,0.83,2024-01-03 17:45:00,2024-01-05 15:45:00,46
SHIP_106305,3341.69,Low,GEN,Cleared,0,Automatic,Complete,Overdue,MedSupply International,Cooperative,36,Available,Good,49.2,9.14,2024-01-02 14:28:00,2024-01-04 01:28:00,35
SHIP_119809,1168.5,Low,AVI,Hold,0,Automatic,Missing,Pending,Global Electronics Pvt Ltd,Cooperative,47,Not Available,Good,35.06,21.94,2024-01-07 04:35:00,2024-01-11 00:35:00,92
SHIP_115409,1134.96,High,PER,Pending,0,Manual,Incomplete,Overdue,AeroTech Solutions,Average,64,Delayed,Good,23.08,5.63,2024-01-05 15:43:00,2024-01-08 07:43:00,64
SHIP_113484,2246.55,Low,GEN,Pending,0,Automatic,Missing,Overdue,FreshFoods Exports,Delayed Response,48,Available,Good,66.04,6.06,2024-01-04 06:17:00,2024-01-07 06:17:00,72
SHIP_104272,3276.81,Low,GEN,Hold,0,Automatic,Missing,Overdue,AeroTech Solutions,Cooperative,98,Not Available,Damaged,60.14,5.29,2024-01-04 21:53:00,2024-01-10 06:53:00,129
SHIP_118663,1458.5,Low,VAL,Pending,0,Automatic,Complete,Paid,ABC Pharma Ltd,Cooperative,29,Available,Damaged,93.09,10.56,2024-01-01 03:24:00,2024-01-02 07:24:00,28
SHIP_113550,4404.63,Medium,PER,Pending,0,Manual,Complete,Overdue,Global Electronics Pvt Ltd,Non-Compliant,92,Available,Good,40.21,4.26,2024-01-02 09:46:00,2024-01-03 21:46:00,36
SHIP_109046,3584.87,Medium,VAL,Pending,0,Manual,Incomplete,Paid,ABC Pharma Ltd,Average,88,Available,Damaged,90.6,23.74,2024-01-04 11:54:00,2024-01-06 02:54:00,39
SHIP_118955,3676.04,Low,VAL,Under Inspection,0,Automatic,Incomplete,Paid,AeroTech Solutions,Cooperative,44,Available,Damaged,50.9,1.29,2024-01-04 17:25:00,2024-01-06 20:25:00,51
SHIP_102176,3098.42,Low,PER,Hold,0,Automatic,Missing,Overdue,Secure Freight Systems,Cooperative,84,Delayed,Good,69.16,16.64,2024-01-07 17:22:00,2024-01-11 07:22:00,86
SHIP_106236,3895.89,High,VAL,Hold,1,Manual,Incomplete,Pending,DHL Logistics,Delayed Response,92,Not Available,Good,47.68,1.39,2024-01-06 02:45:00,2024-01-09 23:45:00,93
SHIP_115191,4195.37,High,PER,Under Inspection,1,Manual,Missing,Overdue,Skyline Traders,Delayed Response,41,Not Available,Good,25.73,5.44,2024-01-08 08:53:00,2024-01-13 07:53:00,119
SHIP_116311,4083.74,High,VAL,Under Inspection,0,Automatic,Incomplete,Pending,ABC Pharma Ltd,Average,73,Available,Damaged,60.3,11.23,2024-01-04 21:12:00,2024-01-07 10:12:00,61
SHIP_117021,1117.42,Low,DGR,Under Inspection,1,Manual,Incomplete,Pending,ABC Pharma Ltd,Average,20,Not Available,Good,89.75,20.05,2024-01-05 20:19:00,2024-01-09 01:19:00,77
SHIP_106317,2266.71,Low,AVI,Hold,0,Automatic,Missing,Pending,Global Electronics Pvt Ltd,Average,46,Delayed,Good,94.96,8.54,2024-01-07 13:20:00,2024-01-10 18:20:00,77
SHIP_113740,438.07,Medium,VAL,Hold,0,Manual,Missing,Overdue,MedSupply International,Cooperative,27,Delayed,Damaged,21.1,22.74,2024-01-06 20:32:00,2024-01-10 21:32:00,97
SHIP_115517,2165.89,Low,PER,Hold,0,Automatic,Incomplete,Paid,AeroTech Solutions,Non-Compliant,23,Delayed,Good,46.6,15.85,2024-01-05 17:39:00,2024-01-08 04:39:00,59
SHIP_105836,1716.59,Critical,GEN,Hold,0,Automatic,Complete,Pending,MedSupply International,Delayed Response,25,Delayed,Good,24.5,16.86,2024-01-05 17:58:00,2024-01-07 22:58:00,53
SHIP_101718,3864.1,Critical,VAL,Under Inspection,0,Manual,Incomplete,Overdue,DHL Logistics,Delayed Response,75,Delayed,Good,62.23,16.91,2024-01-05 16:23:00,2024-01-07 22:23:00,54
SHIP_104081,3939.1,Critical,DGR,Hold,1,Automatic,Complete,Pending,Secure Freight Systems,Cooperative,92,Delayed,Damaged,64.7,5.28,2024-01-06 13:45:00,2024-01-09 22:45:00,81
SHIP_117197,1908.45,Low,VAL,Under Inspection,1,Automatic,Incomplete,Pending,Global Electronics Pvt Ltd,Delayed Response,67,Available,Damaged,52.1,3.18,2024-01-07 04:22:00,2024-01-10 01:22:00,69
SHIP_104605,1833.12,Low,PER,Pending,0,Manual,Incomplete,Paid,ABC Pharma Ltd,Delayed Response,73,Not Available,Good,75.7,2.05,2024-01-06 08:38:00,2024-01-08 11:38:00,51
